track_album_release_date_precision,track_track_number,track_id,track_album_uri,track_album_artists_2_name,track_album_artists_1_uri,track_type,track_disc_number,track_album_release_date,track_duration_ms,track_track,track_name,track_artists,added_by_uri,track_album_artists_2_uri,track_album_artists_1_type,track_album_artists_3_name,track_album_artists_2_type,track_album_type,track_album_name,added_by_type,track_album_total_tracks,track_album_artists_1_name,track_uri,track_popularity,track_album_artists_3_id,track_album_artists_3_type,track_album_id,track_album_album_type,track_album_artists_3_uri,added_at,track_album_artists_1_id,track_album_artists_2_id,added_by_id
day,3,4qlt4KNC6TJcbBnZqnHsQW,spotify:album:66HrRSmRyMdzf60QISnLlL,,spotify:artist:0sSxphmGskGCKlwB9xa6WU,track,1,2008-03-28,331573,True,Oh Sanam Ho Sanam,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0sSxphmGskGCKlwB9xa6WU'}, 'href': 'https://api.spotify.com/v1/artists/0sSxphmGskGCKlwB9xa6WU', 'id': '0sSxphmGskGCKlwB9xa6WU', 'name': 'Himesh Reshammiya', 'type': 'artist', 'uri': 'spotify:artist:0sSxphmGskGCKlwB9xa6WU'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5cB4d4jPYjMT326sjihQ4m'}, 'href': 'https://api.spotify.com/v1/artists/5cB4d4jPYjMT326sjihQ4m', 'id': '5cB4d4jPYjMT326sjihQ4m', 'name': 'Shaan', 'type': 'artist', 'uri': 'spotify:artist:5cB4d4jPYjMT326sjihQ4m'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0Yb0T3wUUNiIvHjqnfkbuH'}, 'href': 'https://api.spotify.com/v1/artists/0Yb0T3wUUNiIvHjqnfkbuH', 'id': '0Yb0T3wUUNiIvHjqnfkbuH', 'name': 'Mahalakshmi Iyer', 'type': 'artist', 'uri': 'spotify:artist:0Yb0T3wUUNiIvHjqnfkbuH'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Dhasavathaaram (Telugu) (Original Motion Picture Soundtrack),user,6,Himesh Reshammiya,spotify:track:4qlt4KNC6TJcbBnZqnHsQW,34,,,66HrRSmRyMdzf60QISnLlL,album,,2022-10-25T17:24:27Z,0sSxphmGskGCKlwB9xa6WU,,him0ne6u68tpnuyl9s05itrka
day,2,2Ej4vdkwwBDyE6QfFWaXUF,spotify:album:2OgVFYem1WFhNgOPuBa9zX,,spotify:artist:05ppw2jwDfW9zo4mj6HNXp,track,1,2012-02-03,260000,True,Oh Priya Priya,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4R21B9eF1iM1yLVNY5SN1d'}, 'href': 'https://api.spotify.com/v1/artists/4R21B9eF1iM1yLVNY5SN1d', 'id': '4R21B9eF1iM1yLVNY5SN1d', 'name': 'Adnan Sami, Nithya Menon', 'type': 'artist', 'uri': 'spotify:artist:4R21B9eF1iM1yLVNY5SN1d'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Ishq,user,6,Anup Rubens,spotify:track:2Ej4vdkwwBDyE6QfFWaXUF,57,,,2OgVFYem1WFhNgOPuBa9zX,single,,2022-10-25T17:32:11Z,05ppw2jwDfW9zo4mj6HNXp,,him0ne6u68tpnuyl9s05itrka
day,4,2kFaEZJM9coKfesI5LOaPJ,spotify:album:2mutIulE85wKAHrrP0oCuM,,spotify:artist:7zFBW2JxM4bgTTKxCRcS8Q,track,1,2016-11-09,194829,True,Neethoney Dance,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7zFBW2JxM4bgTTKxCRcS8Q'}, 'href': 'https://api.spotify.com/v1/artists/7zFBW2JxM4bgTTKxCRcS8Q', 'id': '7zFBW2JxM4bgTTKxCRcS8Q', 'name': 'Hiphop Tamizha', 'type': 'artist', 'uri': 'spotify:artist:7zFBW2JxM4bgTTKxCRcS8Q'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3tPQOjkxO3mrYrrgkTeXgH'}, 'href': 'https://api.spotify.com/v1/artists/3tPQOjkxO3mrYrrgkTeXgH', 'id': '3tPQOjkxO3mrYrrgkTeXgH', 'name': 'Nikhita Gandhi', 'type': 'artist', 'uri': 'spotify:artist:3tPQOjkxO3mrYrrgkTeXgH'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Dhruva,user,4,Hiphop Tamizha,spotify:track:2kFaEZJM9coKfesI5LOaPJ,53,,,2mutIulE85wKAHrrP0oCuM,single,,2022-10-31T16:37:58Z,7zFBW2JxM4bgTTKxCRcS8Q,,him0ne6u68tpnuyl9s05itrka
day,3,55lcV76gPJUqAnHj3Z9xRd,spotify:album:4wwqWlnn6LF8CplJfZcHF8,,spotify:artist:2FgHPfRprDaylrSRVf1UlN,track,1,2016-04-01,263440,True,Private Party,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7bxJB2vrMkzPAHRBLhaeiL'}, 'href': 'https://api.spotify.com/v1/artists/7bxJB2vrMkzPAHRBLhaeiL', 'id': '7bxJB2vrMkzPAHRBLhaeiL', 'name': 'M.C. Vickey', 'type': 'artist', 'uri': 'spotify:artist:7bxJB2vrMkzPAHRBLhaeiL'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/3JGrxsZ6kfzJrfwsxwERhS'}, 'href': 'https://api.spotify.com/v1/artists/3JGrxsZ6kfzJrfwsxwERhS', 'id': '3JGrxsZ6kfzJrfwsxwERhS', 'name': 'M.M.Manasi', 'type': 'artist', 'uri': 'spotify:artist:3JGrxsZ6kfzJrfwsxwERhS'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Sarrainodu,user,6,Thaman S,spotify:track:55lcV76gPJUqAnHj3Z9xRd,0,,,4wwqWlnn6LF8CplJfZcHF8,single,,2022-10-31T16:57:09Z,2FgHPfRprDaylrSRVf1UlN,,him0ne6u68tpnuyl9s05itrka
day,2,4IoL5eSdPTk44UjQf0fk4m,spotify:album:2FqMc3pSul2960B7WyO4hl,,spotify:artist:05ppw2jwDfW9zo4mj6HNXp,track,1,2014-05-09,294947,True,Kanulanu Thaake,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw'}, 'href': 'https://api.spotify.com/v1/artists/4YRxDV8wJFPHPTeXepOstw', 'id': '4YRxDV8wJFPHPTeXepOstw', 'name': 'Arijit Singh', 'type': 'artist', 'uri': 'spotify:artist:4YRxDV8wJFPHPTeXepOstw'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Manam,user,6,Anup Rubens,spotify:track:4IoL5eSdPTk44UjQf0fk4m,52,,,2FqMc3pSul2960B7WyO4hl,single,,2022-10-25T17:18:08Z,05ppw2jwDfW9zo4mj6HNXp,,him0ne6u68tpnuyl9s05itrka
day,3,4uq3InGtC8JKJQBIVTXnAr,spotify:album:6yzM2vohXYNajXhkybkINp,,spotify:artist:05ppw2jwDfW9zo4mj6HNXp,track,1,2012-01-18,267214,True,Okkade Okkade,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6ID2zdEFxXLChwiqQzf3ZA'}, 'href': 'https://api.spotify.com/v1/artists/6ID2zdEFxXLChwiqQzf3ZA', 'id': '6ID2zdEFxXLChwiqQzf3ZA', 'name': 'Raja Hasan', 'type': 'artist', 'uri': 'spotify:artist:6ID2zdEFxXLChwiqQzf3ZA'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4ErbSs6wibbkHWoJ9aawg5'}, 'href': 'https://api.spotify.com/v1/artists/4ErbSs6wibbkHWoJ9aawg5', 'id': '4ErbSs6wibbkHWoJ9aawg5', 'name': 'Noel', 'type': 'artist', 'uri': 'spotify:artist:4ErbSs6wibbkHWoJ9aawg5'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/21dhDPAGZuoa1M2S60hFK1'}, 'href': 'https://api.spotify.com/v1/artists/21dhDPAGZuoa1M2S60hFK1', 'id': '21dhDPAGZuoa1M2S60hFK1', 'name': 'Lipsika Bhashyam', 'type': 'artist', 'uri': 'spotify:artist:21dhDPAGZuoa1M2S60hFK1'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Poolarangadu,user,6,Anup Rubens,spotify:track:4uq3InGtC8JKJQBIVTXnAr,19,,,6yzM2vohXYNajXhkybkINp,single,,2022-10-25T17:19:26Z,05ppw2jwDfW9zo4mj6HNXp,,him0ne6u68tpnuyl9s05itrka
day,1,4OmbwFpYB41rQZZUGGtFZZ,spotify:album:6w7QKS9I6HVRDZeMNqK58d,,spotify:artist:0L5f9aJIaxQXTipZ7uQYiC,track,1,2022-12-12,225034,True,Jinthaak Chithaka,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0L5f9aJIaxQXTipZ7uQYiC'}, 'href': 'https://api.spotify.com/v1/artists/0L5f9aJIaxQXTipZ7uQYiC', 'id': '0L5f9aJIaxQXTipZ7uQYiC', 'name': 'Bheems Ceciroleo', 'type': 'artist', 'uri': 'spotify:artist:0L5f9aJIaxQXTipZ7uQYiC'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/1pDF5UltcypyatITA3Pduo'}, 'href': 'https://api.spotify.com/v1/artists/1pDF5UltcypyatITA3Pduo', 'id': '1pDF5UltcypyatITA3Pduo', 'name': 'Mangli', 'type': 'artist', 'uri': 'spotify:artist:1pDF5UltcypyatITA3Pduo'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Dhamaka (Original Motion Picture Soundtrack),user,5,Bheems Ceciroleo,spotify:track:4OmbwFpYB41rQZZUGGtFZZ,0,,,6w7QKS9I6HVRDZeMNqK58d,single,,2023-01-09T18:34:31Z,0L5f9aJIaxQXTipZ7uQYiC,,him0ne6u68tpnuyl9s05itrka
day,3,6SUMPX87AaMzVe3bydjT6b,spotify:album:1pqc0lCXS1LTAsKlzgzyG6,,spotify:artist:0YpuXLh1Ck69AHkdfVyqXK,track,1,2019-07-04,214634,True,Pilla Picture Perfect,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5KUSz24436Z3mA3v0B1h6g'}, 'href': 'https://api.spotify.com/v1/artists/5KUSz24436Z3mA3v0B1h6g', 'id': '5KUSz24436Z3mA3v0B1h6g', 'name': 'Nikhita Gandhi , Dance', 'type': 'artist', 'uri': 'spotify:artist:5KUSz24436Z3mA3v0B1h6g'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Ranarangam,user,5,Prashant Pillai,spotify:track:6SUMPX87AaMzVe3bydjT6b,25,,,1pqc0lCXS1LTAsKlzgzyG6,single,,2022-10-25T17:19:39Z,0YpuXLh1Ck69AHkdfVyqXK,,him0ne6u68tpnuyl9s05itrka
day,5,3geKpJNdURFqbA8OqaR7vr,spotify:album:4AK5inQXEydabwnUZYdb1h,,spotify:artist:5sSzCxHtgL82pYDvx2QyEU,track,1,2009-05-26,302480,True,Attu Nuvve,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4E5oyNFcB3uXLkLdjYmP9Z'}, 'href': 'https://api.spotify.com/v1/artists/4E5oyNFcB3uXLkLdjYmP9Z', 'id': '4E5oyNFcB3uXLkLdjYmP9Z', 'name': 'Neha Bhasin', 'type': 'artist', 'uri': 'spotify:artist:4E5oyNFcB3uXLkLdjYmP9Z'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Current,user,5,Devi Sri Prasad,spotify:track:3geKpJNdURFqbA8OqaR7vr,57,,,4AK5inQXEydabwnUZYdb1h,single,,2022-10-25T17:19:44Z,5sSzCxHtgL82pYDvx2QyEU,,him0ne6u68tpnuyl9s05itrka
day,2,0Y61GxhLwaCYDJ2ojA7tZv,spotify:album:74Yc4RTqe3fO9f94uDPnn9,,spotify:artist:3AMxH9QIPZbK8ND8C9j4Ss,track,1,2011-02-28,274030,True,Prema Desam,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26R3WRFIf6FbbNAQuMIjkN'}, 'href': 'https://api.spotify.com/v1/artists/26R3WRFIf6FbbNAQuMIjkN', 'id': '26R3WRFIf6FbbNAQuMIjkN', 'name': 'Hemachandra Vedala', 'type': 'artist', 'uri': 'spotify:artist:26R3WRFIf6FbbNAQuMIjkN'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6rEXjeIJ0wL6BFdo8CRcit'}, 'href': 'https://api.spotify.com/v1/artists/6rEXjeIJ0wL6BFdo8CRcit', 'id': '6rEXjeIJ0wL6BFdo8CRcit', 'name': 'Saindhavi', 'type': 'artist', 'uri': 'spotify:artist:6rEXjeIJ0wL6BFdo8CRcit'}]",spotify:user:him0ne6u68tpnuyl9s05itrka,,artist,,,album,Shakti,user,7,Mani Sharma,spotify:track:0Y61GxhLwaCYDJ2ojA7tZv,54,,,74Yc4RTqe3fO9f94uDPnn9,album,,2022-10-25T17:19:50Z,3AMxH9QIPZbK8ND8C9j4Ss,,him0ne6u68tpnuyl9s05itrka
