genres_1,type,followers_total,genres_3,genres_2,id,name,popularity
filmi,artist,2639395,,tamil pop,5FVBduYaeVBb6JIghza7v6,Santhosh Narayanan,73
tollywood,artist,155559,,,27dNKsHZrQKGnAlFCLDlzd,Mahati Swara Sagar,52
filmi,artist,525451,,,3cowxATurZfjWsJC4uEHsl,Jassie Gift,60
tamil pop,artist,50360,,,5FOhBMFQo0pDhvISlFmxdi,Radhan,49
classic tollywood,artist,6416,,,3T0lUjLJ29ApjVCaVxdLfx,Shravan Bharadwaj,33
tollywood,artist,1409743,,,00hL0oJD4pWef0kPYIaSTy,R. P. Patnaik,52
tamil pop,artist,338058,,,0wv5i0ds2z040yx7oL6UZy,Leon James,60
,artist,3283,,,26FsIvdczntiZCsifDzKOK,Pawan Ch,41
telugu indie,artist,37827,,,3lnECmHir8dXsqVV0QuruT,Sricharan Pakala,38
sandalwood,artist,1041903,,,2q1LRGJHpFxovU8Tz6OgRn,Ravi Basrur,60
,artist,1059,,,579pH2PjdCVSkAyFBv2Z8g,K M Radhakrishnan,38
tollywood,artist,23199,,,0goFlPiv6xhrgMwqwUss9Z,MM Sreelekha,47
tollywood,artist,627501,,,78eKGjMa7yG0HpHyo8W3kA,Raj-Koti,24
tollywood,artist,790546,,,5DxwUWyGp1uejyE80iJcn0,Dhanunjay Seepana,54
classic kollywood,artist,998695,,,4Ql23JSzeRcVgkYBqGwDMs,Dhina,44
,artist,10,,,2RoNZ4xq4lxEcH5ECMs8Ev,"Sid Sriram,Shashaa Tirupati",0
indian lo-fi,artist,19389,,,4bOqW6xGi7n9315ErmJ2Um,Sunny M.R.,52
filmi,artist,14382726,,,2ae6PxICSOZHvjqiCcgon8,S. P. Balasubrahmanyam,78
tollywood,artist,76742,,,6lbIfNTi7YjJwrlu2R9j6m,S.V.Krishna Reddy,39
filmi,artist,3245938,,kollywood,5TB837uKG65w8Jnz5D0bS5,Vidyasagar,68
mollywood,artist,345344,,,50iBEPSw6kQ8GQkumXz7XZ,Hesham Abdul Wahab,65
vintage tollywood,artist,270242,,,5M6rduuHHdpdGS0CdPZ79h,Kamalakar,29
tollywood,artist,46783,,,7Fa8B0rJSmeeGjYCJJXrb3,Vivek Sagar,40
sandalwood,artist,55258,,,6oyTfygD0Skzy7RZOdUAZp,Midhun Mukundan,50
tollywood,artist,1735825,,,6LWyVEIBnx7MoRBhQxu9om,Anurag Kulkarni,66
filmi,artist,969261,,tollywood,26R3WRFIf6FbbNAQuMIjkN,Hemachandra Vedala,57
,artist,133,,,4rdoMv9JKSHf8sbKq17EcR,SS Thaman,0
telugu indie,artist,403407,,tollywood,2nWYQRy7Ikh7CyWnvZZouD,Mohana Bhogaraju,49
desi pop,artist,288833,,modern bollywood,3pQ4aA7dkolyjUAMrVScgh,Manan Bhardwaj,64
